simSteps Time(ms) Input(Iapp) Output(V_axon)
360 0.018 0.000 -57.26953624
361 0.018 0.000 -57.26990058
362 0.018 0.000 -57.27026037
363 0.018 0.000 -57.27061563
364 0.018 0.000 -57.27096642
365 0.018 0.000 -57.27131277
366 0.018 0.000 -57.27165471
367 0.018 0.000 -57.27199228
368 0.018 0.000 -57.27232553
369 0.018 0.000 -57.27265449
370 0.018 0.000 -57.27297919
371 0.019 0.000 -57.27329968
372 0.019 0.000 -57.27361599
373 0.019 0.000 -57.27392815
374 0.019 0.000 -57.27423621
375 0.019 0.000 -57.27454020
376 0.019 0.000 -57.27484016
377 0.019 0.000 -57.27513611
378 0.019 0.000 -57.27542811
379 0.019 0.000 -57.27571618
380 0.019 0.000 -57.27600035
381 0.019 0.000 -57.27628067
382 0.019 0.000 -57.27655718
383 0.019 0.000 -57.27682989
384 0.019 0.000 -57.27709886
385 0.019 0.000 -57.27736410
386 0.019 0.000 -57.27762567
387 0.019 0.000 -57.27788359
388 0.019 0.000 -57.27813789
389 0.019 0.000 -57.27838862
390 0.019 0.000 -57.27863580
391 0.020 0.000 -57.27887946
392 0.020 0.000 -57.27911965
393 0.020 0.000 -57.27935639
394 0.020 0.000 -57.27958972
395 0.020 0.000 -57.27981967
396 0.020 0.000 -57.28004627
397 0.020 0.000 -57.28026955
398 0.020 0.000 -57.28048955
399 0.020 0.000 -57.28070630
400 0.020 0.000 -57.28091983
401 0.020 0.000 -57.28113017
402 0.020 0.000 -57.28133736
403 0.020 0.000 -57.28154142
404 0.020 0.000 -57.28174238
405 0.020 0.000 -57.28194029
406 0.020 0.000 -57.28213516
407 0.020 0.000 -57.28232703
408 0.020 0.000 -57.28251593
409 0.020 0.000 -57.28270189
410 0.021 0.000 -57.28288494
411 0.021 0.000 -57.28306511
412 0.021 0.000 -57.28324242
413 0.021 0.000 -57.28341692
414 0.021 0.000 -57.28358862
415 0.021 0.000 -57.28375757
416 0.021 0.000 -57.28392377
417 0.021 0.000 -57.28408727
418 0.021 0.000 -57.28424810
419 0.021 0.000 -57.28440628
420 0.021 0.000 -57.28456184
421 0.021 0.000 -57.28471480
422 0.021 0.000 -57.28486521
423 0.021 0.000 -57.28501307
424 0.021 0.000 -57.28515843
425 0.021 0.000 -57.28530131
